"Benchmark";"Mode";"Threads";"Samples";"Mean";"Mean Error (99.9%)";"Unit";"Param: size"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.get";"thrpt";1;35;37042.0350552381;1405.0322362979086;"ops/ms";"10"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.get";"thrpt";1;35;36655.33164190476;620.0534925029716;"ops/ms";"100"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.get";"thrpt";1;35;36196.27138428572;1378.191665474591;"ops/ms";"1000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.get";"thrpt";1;35;36861.68950285715;384.8694490059728;"ops/ms";"10000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.get";"thrpt";1;35;34562.61137000001;696.8848402399849;"ops/ms";"100000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.iterateKeys";"thrpt";1;35;7459.265174761905;141.59270485357357;"ops/ms";"10"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.iterateKeys";"thrpt";1;35;4991.088250000001;126.67633643521724;"ops/ms";"100"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.iterateKeys";"thrpt";1;35;718.9408666666666;15.0376542066707;"ops/ms";"1000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.iterateKeys";"thrpt";1;35;41.44447952380952;0.8049537652843118;"ops/ms";"10000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.iterateKeys";"thrpt";1;35;2.1390071428571424;0.01632933275550954;"ops/ms";"100000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.iterateValues";"thrpt";1;35;7609.956802380952;119.90399404310965;"ops/ms";"10"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.iterateValues";"thrpt";1;35;5007.472771904762;149.6818987257764;"ops/ms";"100"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.iterateValues";"thrpt";1;35;705.0529166666666;8.839328098558877;"ops/ms";"1000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.iterateValues";"thrpt";1;35;43.195011904761905;0.8949174172723405;"ops/ms";"10000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.iterateValues";"thrpt";1;35;2.148420952380952;0.01819980703407245;"ops/ms";"100000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.put";"thrpt";1;35;50716.69724095239;1584.7434438694393;"ops/ms";"10"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.put";"thrpt";1;35;52249.339377619035;2821.089848925354;"ops/ms";"100"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.put";"thrpt";1;35;56500.4468204762;588.0998299348294;"ops/ms";"1000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.put";"thrpt";1;35;55519.9223152381;670.532375839076;"ops/ms";"10000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.put";"thrpt";1;35;50776.55065142857;448.3801405148045;"ops/ms";"100000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.removeAndPut";"thrpt";1;35;16766.30870428571;121.28908075689432;"ops/ms";"10"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.removeAndPut";"thrpt";1;35;16994.50541047619;301.2343277058023;"ops/ms";"100"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.removeAndPut";"thrpt";1;35;15064.53074571428;115.51803872174384;"ops/ms";"1000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.removeAndPut";"thrpt";1;35;17166.508063333335;201.81970789070658;"ops/ms";"10000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Colt.removeAndPut";"thrpt";1;35;9640.228783333334;90.41137200233041;"ops/ms";"100000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.get";"thrpt";1;35;58540.35079285715;6483.241809875204;"ops/ms";"10"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.get";"thrpt";1;35;47274.89075142857;817.1910062328403;"ops/ms";"100"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.get";"thrpt";1;35;45340.08797761904;415.08717263860694;"ops/ms";"1000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.get";"thrpt";1;35;41738.2488747619;445.7955689643641;"ops/ms";"10000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.get";"thrpt";1;35;37433.951031428565;395.23899281860616;"ops/ms";"100000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.iterateKeys";"thrpt";1;35;34873.69289095238;5183.993523786679;"ops/ms";"10"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.iterateKeys";"thrpt";1;35;3775.112604285714;144.49340364752902;"ops/ms";"100"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.iterateKeys";"thrpt";1;35;442.03819428571427;14.42792529067759;"ops/ms";"1000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.iterateKeys";"thrpt";1;35;21.923032380952378;1.6661116975178998;"ops/ms";"10000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.iterateKeys";"thrpt";1;35;1.587042380952381;0.012414235283659631;"ops/ms";"100000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.iterateValues";"thrpt";1;35;35659.85846285715;5638.416903841214;"ops/ms";"10"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.iterateValues";"thrpt";1;35;4050.215916666666;176.5892919069156;"ops/ms";"100"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.iterateValues";"thrpt";1;35;441.69542047619046;12.107975426029295;"ops/ms";"1000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.iterateValues";"thrpt";1;35;23.45291190476191;1.9578943686017047;"ops/ms";"10000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.iterateValues";"thrpt";1;35;1.5989333333333335;0.007587734208587706;"ops/ms";"100000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.put";"thrpt";1;35;71633.5848104762;2556.957161018376;"ops/ms";"10"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.put";"thrpt";1;35;62966.144833809536;1402.6760261117606;"ops/ms";"100"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.put";"thrpt";1;35;56803.361742380934;471.7020448060985;"ops/ms";"1000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.put";"thrpt";1;35;48046.637259047624;711.4024362095631;"ops/ms";"10000"
